OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,YearBuilt,FullBath,Fireplaces,GrLivArea_OverallQual,SalePrice
5,1048,1,993,1048,1922,1,1,5240,113000
5,1092,1,1092,1092,1957,1,1,5460,141000
4,1336,1,637,897,1920,1,0,5344,108000
7,1446,2,729,729,1996,2,1,10122,175000
7,1557,2,1374,1557,2003,2,1,10899,234000
5,1392,2,1392,1392,1957,1,1,6960,121500
5,1389,2,1389,1389,1974,1,1,6945,170000
5,996,0,996,996,1940,1,1,4980,108000
6,1674,2,1163,1163,1918,2,1,10044,185000
7,2295,2,1095,1166,1992,2,1,16065,268000
6,1647,1,806,841,1915,1,0,9882,128000
9,2504,3,1122,1134,2005,2,1,22536,325000
7,1535,2,1517,1535,2004,2,0,10745,214000
8,2132,2,1496,1496,1983,1,1,17056,316600
5,943,2,943,943,1979,1,2,4715,135960
5,1728,2,1728,1728,1965,2,0,8640,142600
6,864,1,864,864,1959,1,0,5184,120000
7,1692,2,846,846,2009,2,0,11844,224500
7,1430,2,384,774,2000,2,1,10010,170000
5,1109,1,372,576,1971,1,0,5545,139000
5,1216,1,832,832,1947,1,0,6080,118500
7,1477,1,861,877,1928,2,1,10339,145000
5,1320,2,1164,1320,1966,1,2,6600,164500
7,1392,2,689,703,2007,2,0,9744,146000
5,1795,1,1050,1050,1954,2,0,8975,131500
6,1429,2,1144,1429,1960,1,2,8574,181900
8,2042,3,2042,2042,2008,2,1,16336,253293
6,816,0,816,816,1990,1,0,4896,118500
10,2775,2,1237,1521,1893,3,1,27750,325000
4,1573,1,884,989,1935,1,0,6292,133000
8,2028,3,1868,2028,2005,2,2,16224,369900
6,838,1,816,838,1918,1,0,5028,130000
5,860,2,840,860,1982,1,0,4300,137000
5,1473,1,1437,1473,1968,1,2,7365,143000
5,935,1,742,779,1930,1,0,4675,79500
7,1582,2,770,770,2004,2,0,11074,185900
10,2296,3,1722,1728,2008,2,1,22960,451950
5,816,2,816,816,1982,1,0,4080,138000
6,848,2,848,848,2003,1,0,5088,140000
5,924,1,924,924,1975,1,0,4620,110000
8,1826,3,1814,1826,2005,2,1,14608,319000
6,1368,1,684,684,1910,1,0,8208,114504
7,1402,3,1258,1402,2006,0,1,9814,194201
5,1647,2,1430,1647,1977,2,1,8235,217500
6,1556,2,716,716,1980,2,1,9336,151000
8,1904,2,1058,1058,2005,2,1,15232,275000
6,1375,1,780,780,1937,1,1,8250,141000
8,1915,2,908,927,1992,2,1,15320,220000
7,1200,2,600,600,2004,2,0,8400,151000
7,1494,2,1494,1494,2002,2,1,10458,221000
7,1986,2,768,1186,1965,2,3,13902,205000
5,1040,2,1040,1040,1996,1,0,5200,152000
5,2008,1,896,1112,1948,3,0,10040,225000
8,3194,2,965,1940,1934,2,2,25552,359100
4,1029,1,1029,1029,1961,1,0,4116,118500
9,2153,3,1440,1476,2000,2,2,19377,313000
6,1032,2,1032,1032,1978,2,1,6192,148000
8,1872,2,1299,1299,2001,2,1,14976,261500
5,1120,0,1120,1120,2007,1,0,5600,147000
4,630,0,630,630,1972,1,0,2520,75500
6,1054,2,936,1054,1963,1,0,6324,137500
6,1509,2,783,807,2002,2,1,9054,183200
6,832,2,832,832,1954,1,0,4992,105500
9,1828,3,1822,1828,2007,2,1,16452,314813
8,2262,3,1482,1482,2003,2,2,18096,305000
3,864,0,864,864,1914,1,0,2592,67000
6,2614,2,1522,1548,1974,2,1,15684,240000
5,980,2,980,980,1977,1,0,4900,135000
6,1512,2,756,756,2000,2,1,9072,168500
6,1790,2,732,1012,1972,1,1,10740,165150
6,1116,2,1116,1116,1962,1,0,6696,160000
5,1422,1,978,1422,1960,1,1,7110,139900
6,1520,1,1156,1520,1955,1,2,9120,153000
5,2080,2,1040,1040,1969,1,2,10400,135000
6,1350,2,1248,1350,1964,1,0,8100,168500
5,1750,1,636,1089,1880,1,0,8750,124000
8,1554,2,1554,1554,2006,2,1,12432,209500
7,1411,2,1386,1411,1977,2,1,9877,82500
5,1056,1,1056,1056,1954,1,0,5280,139400
6,1056,2,1056,1056,1980,0,0,6336,144000
6,3395,0,1440,1440,1914,2,0,20370,200000
2,800,0,264,800,1936,1,1,1600,60000
5,1387,1,811,811,1954,2,0,6935,93000
5,796,0,796,796,1910,1,0,3980,85000
8,1567,3,1520,1567,2006,2,1,12536,264561
8,1518,2,1518,1518,2003,1,1,12144,274000
7,1929,2,1057,1057,2001,2,1,13503,226000
8,2704,2,1952,2000,1972,2,3,21632,345000
5,1620,2,780,780,1969,2,0,8100,152000
9,1766,3,1766,1766,2009,2,1,15894,370878
6,981,2,981,981,1971,1,0,5886,143250
5,1048,2,0,1048,1950,1,0,5240,98300
6,1094,2,1094,1094,1953,1,2,6564,155000
6,1839,2,756,1051,1966,1,1,11034,155000
4,630,0,630,630,1970,1,0,2520,84500
7,1665,2,813,822,2007,2,0,11655,205950
4,1510,1,755,755,1940,1,1,6040,108000
7,1716,2,880,909,1996,2,1,12012,191000
6,1469,1,756,756,1906,1,0,8814,135000
8,2113,3,2109,2113,1995,2,1,16904,350000
6,1092,1,525,525,1971,1,0,6552,88000
5,1053,1,1053,1053,1959,1,0,5265,145500
7,1502,1,776,851,1931,1,1,10514,149000
6,1458,1,912,912,1948,1,1,8748,97500
5,1486,2,1486,1486,1964,1,0,7430,167000
7,1935,2,793,1142,1976,2,1,13545,197900
8,2448,3,1629,1686,1994,2,1,19584,402000
6,1392,2,1392,1392,1968,1,2,8352,110000
4,1181,2,1138,1181,1972,2,0,4724,137500
8,2097,3,2077,2097,2005,1,1,16776,423000
8,1936,2,1406,1454,2000,2,1,15488,230500
6,2380,2,1021,1465,1965,2,1,14280,129000
6,1679,2,1408,1679,1994,2,1,10074,193500
5,1437,2,1188,1437,1956,1,1,7185,168000
4,1180,1,700,1180,1922,1,1,4720,137500
6,1476,2,738,738,2005,2,0,8856,173500
6,1369,1,672,697,1925,2,0,8214,103600
6,1208,2,1208,1208,1977,1,1,7248,165000
6,1839,2,1477,1839,1957,2,2,11034,257500
6,1136,1,1136,1136,1965,1,1,6816,140000
6,1441,2,855,855,1978,2,1,8646,148500
4,1774,3,1095,1095,1900,2,0,7096,87000
5,792,1,768,792,1924,1,0,3960,109500
8,2046,3,2046,2046,2008,2,1,16368,372500
5,988,2,988,988,1961,1,0,4940,128500
6,923,1,923,923,1980,2,1,5538,143000
5,1520,1,793,848,1932,1,0,7600,159434
6,1291,2,1291,1291,1996,1,1,7746,173000
9,1668,3,1626,1668,2002,2,1,15012,285000
7,1839,2,1195,1195,1998,2,0,12873,221000
7,2090,2,1190,1190,1984,2,1,14630,207500
7,1761,2,874,874,2007,3,0,12327,227875
7,1102,2,551,551,2004,2,0,7714,148800
8,1419,2,1419,1419,2007,2,1,11352,392000
6,1362,2,1362,1362,2005,2,1,8172,194700
6,848,2,848,848,2004,1,1,5088,141000
10,4316,3,2444,2444,1994,3,2,43160,755000
7,2519,2,1210,1238,1989,2,2,17633,335000
5,1073,1,1073,1073,1921,1,0,5365,108480
5,1539,2,927,1067,1936,1,0,7695,141500
6,1137,2,1112,1137,1987,2,1,6822,176000
5,616,1,616,616,1921,1,0,3080,89000
5,1148,1,980,1148,1952,1,0,5740,123500
5,894,1,894,894,1965,1,1,4470,138500
7,1391,2,1391,1391,2004,2,0,9737,196000
8,1800,3,1800,1800,2002,2,1,14400,312500
7,1164,2,1164,1164,1969,1,0,8148,140000
8,2576,3,1234,1264,2006,2,1,20608,361919
5,1812,2,360,1032,1900,2,1,9060,140000
7,1484,2,1473,1484,2004,2,0,10388,213000
4,1092,0,0,372,1930,2,0,4368,55000
7,1824,2,1643,1824,1971,2,2,12768,302000
8,1324,2,1324,1324,2006,2,1,10592,254000
7,1456,2,728,728,2007,2,1,10192,179540
5,904,1,876,904,1966,1,0,4520,109900
3,729,0,270,729,1935,1,0,2187,52000
4,1178,1,859,859,1900,1,0,4712,102776
8,1228,2,1228,1228,1988,2,1,9824,189000
4,960,2,960,960,1970,1,0,3840,129000
6,1479,2,725,725,1976,2,0,8874,130500
6,1350,2,1064,1350,1974,2,1,8100,165000
7,2554,2,718,1576,1890,1,0,17878,159500
5,1178,2,1176,1178,1973,1,1,5890,157000
7,2418,3,1311,1325,1993,2,1,16926,341000
5,971,1,971,971,1969,1,1,4855,128500
8,1742,2,1742,1742,1985,2,1,13936,275000
6,848,2,848,848,2004,1,0,5088,143000
4,864,2,864,864,1970,1,0,3456,124500
4,1470,1,941,997,1954,2,0,5880,135000
9,1698,3,1698,1698,2007,2,1,15282,320000
4,864,2,864,864,1970,1,0,3456,120500
6,1680,2,880,1680,1988,2,1,10080,222000
7,1232,2,1232,1232,2007,2,0,8624,194500
5,1776,3,1584,1776,1958,2,0,8880,110000
4,1208,2,780,848,1925,1,0,4832,103000
8,1616,2,1595,1616,1995,2,1,12928,236500
7,1146,2,868,1146,2003,2,1,8022,187500
7,2031,2,1153,1153,1998,2,1,14217,222500
5,1144,1,864,1144,1961,1,1,5720,131400
5,948,1,948,948,1968,1,0,4740,108000
7,1768,2,880,880,1914,1,2,12376,163000
3,1040,2,0,1040,1950,2,0,3120,93500
8,1801,3,893,901,2005,2,1,14408,239900
5,1200,0,1200,1200,1987,3,0,6000,179000
7,1728,2,864,864,2004,2,0,12096,190000
5,1432,2,264,768,1910,2,0,7160,132000
6,912,1,912,912,1961,1,0,5472,142000
7,1349,2,1349,1349,2000,2,0,9443,179000
5,1464,2,520,1464,1963,2,1,7320,175000
8,1337,2,1337,1337,1993,2,1,10696,180000
8,2715,2,1142,1175,1976,3,2,21720,299800
7,2256,2,952,980,2000,2,1,15792,236000
7,2640,4,1240,1320,1880,1,1,18480,265979
7,1720,2,1720,1720,1996,2,1,12040,260400
4,1529,1,0,1088,1945,2,0,6116,98000
4,1140,0,576,792,1910,1,0,4560,96500
7,1320,2,660,660,2003,2,0,9240,162000
6,1494,2,1479,1494,1997,2,0,8964,217000
8,2098,3,1030,1038,2005,2,1,16784,275500
6,1026,2,1026,1026,1969,1,0,6156,156000
6,1471,2,729,742,1999,2,0,8826,172500
8,1768,2,866,866,2007,2,0,14144,212000
6,1386,2,672,672,1978,2,1,8316,158900
7,1501,2,744,757,1999,2,0,10507,179400
8,2531,3,1318,1328,1995,2,1,20248,290000
6,864,1,864,864,1959,1,0,5184,127500
5,1301,2,1145,1301,1924,1,0,6505,100000
7,1547,2,756,764,2009,2,0,10829,215200
8,2365,3,1252,1268,1999,2,1,18920,337000
8,1494,2,1494,1494,1995,1,1,11952,270000
9,1506,2,1498,1506,2008,2,1,13554,264132
7,1714,2,980,980,1988,2,1,11998,196500
6,1750,1,983,983,1940,2,0,10500,160000
7,1836,2,1860,1836,2004,2,1,12852,216837
8,3279,3,1650,1690,2003,3,1,26232,538000
5,858,2,858,858,1982,1,0,4290,134900
4,1220,2,836,1220,1951,1,0,4880,102000
6,1117,2,1029,1117,1976,1,1,6702,107000
5,912,1,912,912,1958,1,0,4560,114500
8,1973,3,1935,1973,2006,2,1,15784,395000
6,1204,2,1204,1204,1998,2,0,7224,162000
7,1614,3,1614,1614,2005,2,0,11298,221500
5,894,2,864,894,1974,1,1,4470,142500
5,2020,2,0,2020,1977,2,2,10100,144000
6,1004,2,975,1004,1977,1,0,6024,135000
7,1253,2,1237,1253,1995,2,1,8771,176000
6,1603,2,761,810,1992,2,0,9618,175900
7,1430,2,1413,1430,2001,2,0,10010,187100
5,1110,2,1097,1110,1978,1,1,5550,165500
6,1484,0,742,742,1914,2,1,8904,128000
6,1342,2,1372,1342,1967,2,1,8052,161500
5,1652,1,686,966,1915,2,0,8260,139000
7,2084,2,956,956,2004,2,0,14588,233000
4,901,1,901,901,1954,1,0,3604,107900
6,2087,2,832,976,1966,2,0,12522,187500
7,1145,2,1145,1145,2005,2,1,8015,160200
6,1062,2,1029,1062,1976,1,2,6372,146800
7,2013,2,1117,1127,1996,2,1,14091,269790
8,1496,2,1496,1496,2007,2,0,11968,225000
7,1895,2,712,1086,1994,2,1,13265,194500
6,1564,2,650,888,1980,2,1,9384,171000
6,1285,2,660,1285,1977,1,1,7710,143500
5,773,1,773,773,1953,1,0,3865,110000
9,3140,3,1926,1966,2008,3,2,28260,485000
5,1768,1,731,981,1937,1,2,8840,175000
6,1688,2,616,616,1997,2,0,10128,200000
4,1196,2,1196,1196,1916,1,0,4784,109900
7,1456,2,728,728,2005,2,1,10192,189000
9,2822,3,1734,1734,2008,3,1,25398,582933
5,1128,1,936,1128,1954,1,0,5640,118000
7,1428,2,1417,1428,2008,2,0,9996,227680
5,980,1,980,980,1967,2,0,4900,135500
5,1576,2,1324,1072,1923,1,1,7880,223500
5,1086,2,1024,1086,1966,1,1,5430,159950
5,2138,2,849,1075,1898,2,0,10690,106000
6,1309,2,1040,1309,1974,1,1,7854,181000
6,848,2,848,848,2004,1,1,5088,144500
5,1044,2,540,1044,1952,1,0,5220,55993
6,1442,1,1442,1442,1958,1,0,8652,157900
5,1250,1,686,686,1918,1,0,6250,116000
7,1661,2,1649,1661,1998,2,0,11627,224900
5,1008,1,1008,1008,1954,1,1,5040,137000
8,1689,3,1568,1689,2002,2,2,13512,271000
6,1052,2,1010,1052,1971,1,0,6312,155000
7,1358,2,1358,1358,2009,2,1,9506,224000
7,1640,2,798,798,2003,2,0,11480,183000
4,936,2,936,936,1953,1,0,3744,93000
7,1733,2,847,847,2003,2,1,12131,225000
6,1489,1,778,944,1940,2,1,8934,139500
8,1489,2,1489,1489,2006,2,1,11912,232600
10,2084,3,2078,2084,2007,2,1,20840,385000
5,784,0,784,784,1924,1,0,3920,109500
7,1434,2,1454,1434,2001,2,1,10038,189000
5,2126,2,1013,1160,1967,2,0,10630,185000
7,1223,2,600,520,2005,2,0,8561,147400
6,1392,2,1392,1392,1957,1,2,8352,166000
7,1200,2,600,520,2005,2,0,8400,151000
7,1829,2,941,941,2003,2,1,12803,237000
6,1516,2,1516,1516,1964,1,0,9096,167000
5,1144,2,1144,1144,1961,1,0,5720,139950
4,1067,2,1067,1067,1950,2,0,4268,128000
5,1559,2,1559,1559,1948,1,0,7795,153500
6,987,1,483,483,1973,1,0,5922,100000
5,1099,1,1099,1099,1995,1,0,5495,144000
5,1200,1,768,768,1946,1,0,6000,130500
6,1482,1,672,810,1925,2,0,8892,140000
5,1539,2,650,958,1904,2,1,7695,157500
6,1165,2,1127,1165,1966,1,0,6990,174900
5,1800,0,1800,1800,1961,2,0,9000,141000
5,1416,3,876,876,1915,1,1,7080,153900
5,1701,2,1390,1701,1975,2,2,8505,171000
7,1775,2,740,1006,1993,2,1,12425,213000
5,864,1,864,864,1972,1,1,4320,133500
6,2358,2,907,1307,1908,3,1,14148,240000
6,1855,2,528,1094,1976,2,1,11130,187000
6,848,2,848,848,2003,1,0,5088,131500
8,1456,2,1273,1456,2003,2,1,11648,215000
7,1646,1,918,918,1941,2,2,11522,164000
6,1445,2,1127,1445,1964,1,1,8670,158000
5,1779,2,1763,1779,1955,1,1,8895,170000
5,1040,1,1040,1040,1962,1,0,5200,127000
6,1026,2,940,1026,1978,1,0,6156,147000
6,1481,2,702,702,1994,2,1,8886,174000
7,1370,2,1090,1370,1976,2,1,9590,152000
6,2654,2,1054,1512,1968,2,1,15924,250000
7,1426,1,912,912,1918,1,1,9982,189950
5,1039,2,1039,1039,1965,1,0,5195,131500
6,1097,2,1040,1097,1984,2,0,6582,152000
5,1148,1,1148,1148,1959,1,0,5740,132500
7,1372,2,1372,1372,2007,2,0,9604,250580
5,1002,2,1002,1002,1970,1,0,5010,148500
8,1646,3,1638,1646,2006,2,1,13168,248900
4,1120,2,1040,1120,1961,1,0,4480,129000
5,2320,2,0,1547,1948,2,1,11600,169000
7,1949,2,1050,1062,1993,2,1,13643,236000
5,894,1,894,894,1962,1,0,4470,109500
6,1682,2,804,804,1998,2,0,10092,200500
5,910,2,105,910,1953,1,0,4550,116000
5,1268,1,832,1036,1949,1,1,6340,133000
5,1131,1,676,676,1941,1,0,5655,66500
8,2610,2,1184,1184,2007,2,1,20880,303477
4,1040,2,1064,1040,1963,1,0,4160,132250
9,2224,3,1462,1462,2004,2,1,20016,350000
5,1155,2,1109,1155,1961,1,0,5775,148000
5,864,1,864,864,1978,1,0,4320,136500
5,1090,2,1090,1090,2005,1,0,5450,157000
7,1717,2,1156,1187,1990,2,1,12019,187500
6,1593,2,808,808,1992,2,1,9558,178000
4,2230,1,795,954,1912,1,0,8920,118500
5,892,1,892,892,1967,1,0,4460,100000
9,1709,2,1698,1709,1999,2,1,15381,328900
5,1712,2,1626,1712,1959,2,0,8560,145000
5,1393,1,816,872,1955,1,0,6965,135500
8,2217,2,2217,2217,1970,2,1,17736,268000
6,1505,2,1505,1505,1953,1,1,9030,149500
5,924,2,672,672,1949,1,1,4620,122900
6,1683,2,918,918,1978,2,1,10098,172500
6,1068,1,1059,1068,1963,1,0,6408,154500
5,1383,1,1383,1383,1954,1,1,6915,165000
5,1535,2,0,1535,1979,2,0,7675,118858
6,1796,2,780,983,1963,1,1,10776,140000
4,951,1,951,951,1936,1,0,3804,106500
5,2240,2,0,1120,1979,2,0,11200,142953
9,2364,3,2330,2364,2009,2,2,21276,611657
5,1236,1,912,1236,1961,1,1,6180,135000
4,858,1,858,858,1971,1,0,3432,110000
5,1306,1,992,1306,1957,1,0,6530,153000
7,1509,2,783,807,2003,2,1,10563,180000
7,1670,3,1670,1670,2006,2,1,11690,240000
5,902,1,876,902,1967,1,0,4510,125500
5,1063,1,1056,1063,1954,1,0,5315,128000
8,1636,3,1623,1636,2006,2,1,13088,255000
7,2057,1,1017,1020,1936,1,1,14399,250000
5,902,2,864,902,1983,1,0,4510,131000
6,1484,2,742,742,2005,2,1,8904,174000
5,2274,2,1105,1105,1960,2,0,11370,154300
5,1268,1,1268,1268,1977,1,0,6340,143500
5,1015,1,768,1015,1925,1,0,5075,88000
5,2002,3,1001,1001,1949,2,0,10010,145000
6,1224,2,612,612,2009,2,0,7344,173733
4,1092,1,546,546,1970,1,0,4368,75000
2,480,1,480,480,1949,0,0,960,35311
4,1229,1,1134,1229,1956,1,0,4916,135000
7,2127,3,1104,912,1991,2,1,14889,238000
6,1414,2,1184,1414,1958,1,1,8484,176500
6,1721,2,928,936,1994,2,0,10326,201000
5,2200,0,1272,1272,1900,2,0,11000,145900
6,1316,2,1316,1316,2005,2,1,7896,169990
6,1617,2,1604,1617,1993,2,1,9702,193000
6,1686,2,1686,1686,1980,2,1,10116,207500
5,1126,2,1126,1126,1977,2,0,5630,175000
8,2374,3,1181,1234,2003,2,1,18992,285000
7,1978,2,832,1098,1968,2,1,13846,176000
8,1788,2,1753,1788,2001,2,1,14304,236500
7,2236,2,964,993,1997,2,1,15652,222000
8,1466,3,1466,1466,2007,2,0,11728,201000
5,925,1,925,925,1965,1,0,4625,117500
9,1905,3,1905,1905,2006,2,1,17145,320000
7,1500,2,1500,1500,2004,2,0,10500,190000
7,2069,2,585,2069,1960,2,1,14483,242000
4,747,2,600,747,1926,1,0,2988,79900
7,1200,2,1176,1200,2003,2,0,8400,184900
7,1971,2,1113,1113,2005,2,1,13797,253000
7,1962,3,1391,1391,2006,2,0,13734,239799
7,2403,1,1032,1207,1940,2,2,16821,244400
6,1728,2,1728,1728,1976,2,0,10368,150900
7,2060,2,992,1022,1999,2,1,14420,214000
4,1440,0,1440,1440,1977,2,0,5760,150000
5,1632,2,1632,1632,1967,2,0,8160,143000
6,1344,2,819,1344,1958,1,1,8064,137500
5,1869,2,1088,1188,1890,1,0,9345,124900
5,1144,1,1144,1144,1959,1,1,5720,143000
8,1629,3,1616,1629,2002,2,1,13032,270000
7,1776,2,936,936,2002,2,1,12432,192500
6,1381,2,1161,1381,1972,1,1,8286,197500
5,864,2,864,864,1950,1,0,4320,129000
5,965,1,828,965,1965,1,0,4825,119900
5,768,1,768,768,1972,1,0,3840,133900
5,1968,2,784,1168,1969,2,1,9840,172000
6,980,0,945,980,1975,2,0,5880,127500
6,1958,2,979,979,1946,2,0,11748,145000
6,1229,2,561,561,1980,1,1,7374,124000
5,1057,2,1057,1057,1962,1,0,5285,132000
7,1337,2,1337,1337,2003,2,0,9359,185000
7,1416,2,696,696,1999,2,0,9912,155000
5,858,0,858,858,1958,1,0,4290,116500
6,2872,2,1330,1542,1977,2,1,17232,272000
6,1548,2,804,804,1976,2,1,9288,155000
9,1800,2,1800,1800,2007,2,0,16200,239000
7,1894,2,817,824,2002,2,1,13258,214900
6,1484,2,783,783,2005,2,1,8904,178900
5,1308,1,728,976,1940,1,2,6540,160000
5,1098,1,1098,1098,1955,1,0,5490,135000
3,968,0,600,600,1910,1,0,2904,37900
6,1095,1,588,1095,1958,1,0,6570,140000
4,1192,0,720,720,1949,1,0,4768,135000
7,1626,2,764,764,2003,2,0,11382,173000
6,918,1,918,918,1979,2,1,5508,99500
7,1428,2,1428,1428,2007,2,0,9996,182000
7,2019,2,728,1136,1910,1,0,14133,167500
7,1382,2,673,673,2000,2,0,9674,165000
4,869,0,440,869,1923,1,0,3476,85500
7,1241,2,1241,1241,2006,1,0,8687,199900
4,894,2,894,894,1954,1,0,3576,110000
5,1121,2,1121,1121,1963,1,0,5605,139000
7,999,2,944,999,1961,1,0,6993,178400
8,2612,3,1225,1276,1998,2,1,20896,336000
7,1266,2,1266,1266,2007,2,1,8862,159895
8,2290,2,1128,1149,2002,2,1,18320,255900
5,1734,2,0,1302,1977,2,0,8670,126000
5,1164,1,1164,1164,1950,1,0,5820,125000
6,1635,1,485,1001,1910,1,0,9810,117000
9,1940,3,1930,1940,2009,2,1,17460,395192
6,2030,2,848,1118,1976,2,1,12180,195000
7,1576,2,770,778,2006,2,0,11032,197000
8,2392,3,1396,1407,1997,2,1,19136,348000
8,1742,2,916,916,1882,1,1,13936,168000
6,1851,2,822,1020,1964,2,1,11106,187000
6,1500,2,750,750,2005,2,0,9000,173900
10,1718,3,1700,1718,2006,2,1,17180,337500
4,1230,1,747,774,1946,1,0,4920,121600
5,1050,1,1050,1050,1961,1,0,5250,136500
6,1442,2,1442,1442,1970,2,1,8652,185000
3,1077,1,1007,1077,1922,1,1,3231,91000
7,1208,2,1187,1208,2006,2,0,8456,206000
3,944,2,0,944,1952,1,0,2832,82000
5,691,1,691,691,1920,1,0,3455,86000
8,1574,3,1574,1574,2006,2,1,12592,232000
5,1680,2,1680,1680,1976,2,0,8400,136905
7,1504,2,1346,1504,2005,2,1,10528,181000
5,985,1,985,985,1977,2,0,4925,149900
6,1657,2,1657,1657,1970,2,1,9942,163500
4,1092,1,546,546,1970,1,0,4368,88000
7,1710,2,1710,1710,2004,2,1,11970,240000
5,1522,0,1008,1008,1926,2,0,7610,102000
5,1271,1,720,720,1948,2,1,6355,135000
5,1664,0,0,1664,1965,2,0,8320,100000
6,1502,1,602,900,1923,1,2,9012,165000
5,1022,1,1022,1022,1910,1,0,5110,85000
6,1082,1,1082,1082,1948,1,1,6492,119200
8,1665,2,810,810,2001,2,0,13320,227000
7,1504,2,1504,1504,1996,2,1,10528,203000
8,1360,2,1220,1360,1984,1,1,10880,187500
7,1472,2,384,802,1991,2,1,10304,160000
7,1506,2,1362,1506,2005,2,1,10542,213490
4,1132,2,1132,1132,2005,1,0,4528,176000
7,1220,2,1199,1220,2006,2,0,8540,194000
5,1248,1,912,912,1930,1,0,6240,87000
7,1504,2,1346,1504,2005,2,1,10528,191000
8,2898,2,1565,2898,1976,2,1,23184,287000
5,882,2,882,882,1972,1,0,4410,112500
5,1264,2,1268,1264,1960,1,2,6320,167500
8,1646,3,1638,1646,2007,2,1,13168,293077
5,1376,1,768,968,1941,1,1,6880,105000
6,1218,1,672,672,1972,1,0,7308,118000
5,1928,0,686,948,1916,2,0,9640,160000
7,3082,2,824,1687,1920,2,2,21574,197000
8,2520,3,1338,1352,1993,2,1,20160,310000
7,1654,3,1654,1654,2002,2,0,11578,230000
5,954,1,920,954,1938,1,1,4770,119750
4,845,1,0,845,1957,1,0,3380,84000
9,1620,3,1620,1620,2007,2,1,14580,315500
8,2263,2,1055,1055,2001,2,1,18104,287000
4,1344,0,546,798,1970,1,1,5376,97000
4,630,1,630,630,1970,1,0,2520,80000
5,1803,2,1134,1803,1957,2,1,9015,155000
6,1632,2,800,800,1966,1,0,9792,173000
6,1306,2,1306,1306,2005,2,1,7836,196000
7,2329,2,1475,1532,1990,2,1,16303,262280
8,2524,2,2524,2524,1981,2,1,20192,278000
3,1733,2,0,1733,1955,2,1,5199,139600
9,2868,3,1992,1992,2005,3,1,25812,556581
5,990,2,990,990,1994,1,0,4950,145000
5,1771,2,0,1771,1960,1,1,8855,115000
4,930,1,0,930,1946,1,0,3720,84900
7,1302,2,1302,1302,2007,2,0,9114,176485
7,1316,2,1316,1316,2007,2,1,9212,200141
6,1977,2,816,1127,1964,1,1,11862,165000
5,1526,1,1216,1526,1957,1,1,7630,144500
8,1989,2,1065,1091,2002,2,1,15912,255000
6,1523,2,1193,1523,1976,2,1,9138,180000
7,1364,2,1364,1364,2005,2,1,9548,185850
7,1850,2,973,979,1994,2,1,12950,248000
9,2184,3,1104,1130,2008,2,1,19656,335000
6,1991,2,854,1096,1932,1,1,11946,220000
8,1338,2,1338,1338,2001,2,0,10704,213500
3,894,3,894,894,1935,1,0,2682,81000
5,2337,2,662,1422,1900,2,0,11685,90000
6,1103,2,1103,1103,1925,1,1,6618,110500
5,1154,2,1154,1154,1966,1,1,5770,154000
7,2260,2,1306,1306,1996,2,0,15820,328000
6,1571,2,799,799,1993,2,1,9426,178000
6,1611,2,780,798,1964,1,0,9666,167900
6,2521,2,942,1291,1973,2,1,15126,151400
5,893,2,845,893,1949,1,0,4465,135000
5,1048,1,1048,1048,1956,1,0,5240,135000
6,1556,2,727,829,1968,1,0,9336,154000
5,1456,1,810,1002,1948,1,1,7280,91500
6,1426,2,690,698,1977,1,0,8556,159500
7,1240,3,1240,1240,2006,2,0,8680,194000
7,1740,1,800,960,1940,1,2,12180,219500
5,1466,2,796,1096,1936,2,1,7330,170000
5,1096,1,1096,1096,1969,1,0,5480,138800
6,848,2,848,848,2004,1,1,5088,155900
5,990,1,990,990,1994,1,0,4950,126000
6,1258,2,1258,1258,1971,2,0,7548,145000
5,1040,1,1040,1040,1963,1,0,5200,133000
7,1459,2,1459,1459,2002,2,1,10213,192000
6,1251,1,1251,1251,1964,1,2,7506,160000
6,1498,2,691,691,1995,2,1,8988,187500
6,996,2,936,996,1992,1,0,5976,147000
4,1092,1,546,546,1973,1,0,4368,83500
8,1953,3,1082,1082,2005,2,1,15624,252000
7,1709,2,970,970,2004,2,0,11963,137500
8,1247,2,1247,1247,2005,1,1,9976,197000
3,1040,2,0,1040,1950,2,0,3120,92900
7,1252,2,600,624,1999,2,0,8764,160000
6,1694,2,1181,1390,1925,2,1,10164,136500
5,1200,2,864,1200,1965,1,0,6000,146000
5,936,1,936,936,1956,1,0,4680,129000
6,1314,2,1314,1314,2006,2,1,7884,176432
6,1355,0,684,773,1914,1,0,8130,127000
8,1088,2,1074,1088,1986,1,0,8704,170000
4,1324,1,672,757,1936,1,0,5296,128000
7,1601,2,1271,1601,1978,2,1,11207,157000
2,438,1,290,438,1920,1,0,876,60000
5,950,1,950,950,1971,1,0,4750,119500
5,1134,1,1010,1134,1960,1,0,5670,135000
6,1194,2,655,1194,1959,1,1,7164,159500
5,1302,2,630,630,1970,2,0,6510,106000
8,2622,2,1463,1500,1994,2,2,20976,325000
7,1442,2,910,1442,1990,2,1,10094,179900
7,2021,2,868,887,2006,2,1,14147,274725
6,1690,2,924,948,2000,2,1,10140,181000
8,1836,3,1836,1836,2004,2,1,14688,280000
6,1658,2,773,773,1995,2,1,9948,188000
7,1964,2,803,1098,1976,2,1,13748,205000
5,816,1,816,816,1957,1,0,4080,129900
